title,author,rating,ratings,score,link,autors link
In Isolation: Dispatches from Occupied Donbas,Stanislav Aseyev, 4.55 ,40,90,https://www.goodreads.com/book/show/59514528-in-isolation,https://www.goodreads.com/author/show/21630026.Stanislav_Aseyev
Een lot uit de loterij,Sholom Aleichem, 4.00 ,4,89,https://www.goodreads.com/book/show/13516930-een-lot-uit-de-loterij,https://www.goodreads.com/author/show/18362.Sholom_Aleichem
«Світлий шлях»: історія одного концтабору,Станіслав Асєєв, 4.84 ,281,89,https://www.goodreads.com/book/show/55829619,https://www.goodreads.com/author/show/18148543._
Розбійник Пинтя у Заклятому місті,Олександр Гаврош, 4.38 ,16,88,https://www.goodreads.com/book/show/18818735,https://www.goodreads.com/author/show/7395130._
Хазяїн,Іван Карпенко-Карий, 3.89 ,139,88,https://www.goodreads.com/book/show/16069099,https://www.goodreads.com/author/show/6549443._
Het geheim van Rakitne,Dovid Bergelson, 3.76 ,17,88,https://www.goodreads.com/book/show/11835103-het-geheim-van-rakitne,https://www.goodreads.com/author/show/68610.Dovid_Bergelson
"Der Erzherzog, der den Schwarzmarkt regierte, Matrosen liebte und mein Großvater wurde",Наталка Сняданко, 3.80 ,108,88,https://www.goodreads.com/book/show/57315462-der-erzherzog-der-den-schwarzmarkt-regierte-matrosen-liebte-und-mein-g,https://www.goodreads.com/author/show/5188351._
Мартин Боруля,Іван Карпенко-Карий, 3.56 ,227,87,https://www.goodreads.com/book/show/23280933,https://www.goodreads.com/author/show/6549443._
De familie Masjber,Der Nister, 4.08 ,107,87,https://www.goodreads.com/book/show/13480385-de-familie-masjber,https://www.goodreads.com/author/show/1063639.Der_Nister
Mondegreen: Songs about Death and Love,Volodymyr Rafeyenko, 4.16 ,182,87,https://www.goodreads.com/book/show/58885915-mondegreen,https://www.goodreads.com/author/show/19628580.Volodymyr_Rafeyenko
Катруся уже большая,Забіла Наталя Львівна, 5.00 ,3,86,https://www.goodreads.com/book/show/15817431,https://www.goodreads.com/author/show/6466380._
Метелики на шпильках,Ірина Вільде, 4.52 ,21,86,https://www.goodreads.com/book/show/30354685,https://www.goodreads.com/author/show/4800544._
Сто тисяч,Іван Карпенко-Карий, 3.96 ,253,86,https://www.goodreads.com/book/show/22561785,https://www.goodreads.com/author/show/6549443._
Het lied van het paradijs: het wonderlijke levensverhaal van Sjmoeël-Abbe Aberwo,Itzik Manger, 3.87 ,30,86,https://www.goodreads.com/book/show/11546843-het-lied-van-het-paradijs,https://www.goodreads.com/author/show/324251.Itzik_Manger
Najdłuższe czasy,Volodymyr Rafeyenko, 4.14 ,157,86,https://www.goodreads.com/book/show/60666578-najd-u-sze-czasy,https://www.goodreads.com/author/show/19628580.Volodymyr_Rafeyenko
