title,author,rating,ratings,score,link,author link
The Complete Persepolis,Marjane Satrapi, 4.37,156.812,293,https://www.goodreads.com/book/show/991197.The_Complete_Persepolis,https://www.goodreads.com/author/show/6238.Marjane_Satrapi
Wishful Drinking,Carrie Fisher, 3.80,76.934,290,https://www.goodreads.com/book/show/4961048-wishful-drinking,https://www.goodreads.com/author/show/90150.Carrie_Fisher
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson (Goodreads Author), 3.66,340.147,277,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea,https://www.goodreads.com/author/show/27837.Greg_Mortenson
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson, 4.06,377.936,277,https://www.goodreads.com/book/show/9791.A_Walk_in_the_Woods,https://www.goodreads.com/author/show/7.Bill_Bryson
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou, 4.27,478.427,272,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,https://www.goodreads.com/author/show/3503.Maya_Angelou
Papillon,Henri Charrière, 4.22,64.59,265,https://www.goodreads.com/book/show/6882.Papillon,https://www.goodreads.com/author/show/957910.Henri_Charri_re
"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth, 4.16,66.678,263,https://www.goodreads.com/book/show/6114607-the-midwife,https://www.goodreads.com/author/show/527872.Jennifer_Worth
The Diving Bell and the Butterfly,Jean-Dominique Bauby, 3.97,67.828,258,https://www.goodreads.com/book/show/193755.The_Diving_Bell_and_the_Butterfly,https://www.goodreads.com/author/show/75287.Jean_Dominique_Bauby
A Stolen Life,Jaycee Dugard, 3.92,106.771,257,https://www.goodreads.com/book/show/11330361-a-stolen-life,https://www.goodreads.com/author/show/4842866.Jaycee_Dugard
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight, 4.47,224.952,257,https://www.goodreads.com/book/show/27220736-shoe-dog,https://www.goodreads.com/author/show/3319233.Phil_Knight
Scrappy Little Nobody,Anna Kendrick, 3.86,89.156,253,https://www.goodreads.com/book/show/29868610-scrappy-little-nobody,https://www.goodreads.com/author/show/7041930.Anna_Kendrick
Dreams from My Father: A Story of Race and Inheritance,Barack Obama (Goodreads Author), 3.92,216.252,251,https://www.goodreads.com/book/show/88061.Dreams_from_My_Father,https://www.goodreads.com/author/show/6356.Barack_Obama
Seriously... I'm Kidding,Ellen DeGeneres, 3.69,108.035,250,https://www.goodreads.com/book/show/11230081-seriously-i-m-kidding,https://www.goodreads.com/author/show/40648.Ellen_DeGeneres
Know My Name,Chanel Miller, 4.72,136.03,247,https://www.goodreads.com/book/show/50196744-know-my-name,https://www.goodreads.com/author/show/19527332.Chanel_Miller
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance, 3.89,375.431,242,https://www.goodreads.com/book/show/27161156-hillbilly-elegy,https://www.goodreads.com/author/show/15109469.J_D_Vance
Running with Scissors,Augusten Burroughs (Goodreads Author), 3.74,375.341,242,https://www.goodreads.com/book/show/242006.Running_with_Scissors,https://www.goodreads.com/author/show/3058.Augusten_Burroughs
Just Kids,Patti Smith (Goodreads Author), 4.18,224.238,231,https://www.goodreads.com/book/show/341879.Just_Kids,https://www.goodreads.com/author/show/196092.Patti_Smith
Fun Home: A Family Tragicomic,Alison Bechdel, 4.07,158.937,231,https://www.goodreads.com/book/show/26135825-fun-home,https://www.goodreads.com/author/show/21982.Alison_Bechdel
